age,CCESpercent,CCESN,VoterRegPercent,VoterRegN,CCESminusVoterReg
21,0.577204711875199,3141,1.1503406778161224e-4,113010,0.5770896778074174
22,0.5850034554250173,2894,8.179022443237584e-5,122264,0.584921665200585
23,0.17574257425742573,2424,0.43736103544240423,135826,-0.2616184611849785
24,0.28692493946731235,2478,0.47204677364288156,140592,-0.1851218341755692
25,0.5793194874060981,2263,0.449553830427936,144788,0.12976565697816206
26,0.6031613976705491,2404,0.45128604309401904,149023,0.15187535457653006
27,0.503905540417802,5505,0.47356010100335344,149698,0.03034543941444856
28,0.2966040462427746,2768,0.47018583577974715,145451,-0.17358178953697256
29,0.4765116839315828,4151,0.4742318356722499,141376,0.0022798482593328617
30,0.46173733195449845,5802,0.4909047093961545,136939,-0.02916737744165604
31,0.7118859760753372,3929,0.50646622611607806,133772,0.20541974995925916
32,0.6876790830945558,6282,0.517822714433036,133818,0.16985636866151987
33,0.5924043861995186,3739,0.5299944334723694,131141,0.06240995272714922
34,0.49769443590531814,3253,0.5553929013167165,127742,-0.057698465411398336
35,0.5671503550478543,3239,0.5746731698282116,129578,-0.007522814780357323
36,0.620077648363838,1803,0.5885082613960392,128005,0.031569386967798874
37,0.6960587842351369,2994,0.5960571468052602,130261,0.10000163742987667
38,0.7691954022988505,4350,0.6177885936334734,127385,0.15140680866537715
39,0.8012853035684085,5913,0.6339739523695765,121393,0.167311351198832
40,0.8295092415551306,3138,0.6420525345162738,120378,0.18745670703885686
41,0.6484760522496371,3445,0.6506281232648529,115264,-0.0021520710152157507
42,0.6466019417475728,2060,0.6615009771762619,116151,-0.01489903542868909
43,0.7876809537326143,3523,0.6742080672124823,116645,0.11347288652013199
44,0.5936179205409975,4732,0.6816012542641535,116084,-0.08798333372315603
45,0.7399588053553038,3884,0.6879904385097263,121320,0.051968366845577485
46,0.5963994138580699,4777,0.7032390853640215,133124,-0.10683967150595153
47,0.7100083752093802,4776,0.7139855443957457,138493,-0.003977169186365481
48,0.7805289814293753,1777,0.721552430987883,131716,0.058976550441492304
49,0.7453069507864029,1971,0.7289509791692653,128272,0.016355971617137532
50,0.7473811442385173,2482,0.7401506373117034,127724,0.007230506926813929
51,0.6145710928319624,1702,0.7459096984314749,130186,-0.1313386055995125
52,0.8402654867256637,2260,0.7518155748389259,134255,0.08844991188673779
53,0.6464405160057334,2093,0.7620537499386176,142549,-0.11561323393288425
54,0.8631346578366446,3171,0.7706532281870704,142278,0.09248142964957418
55,0.8084321475625823,3795,0.7759258871996487,143457,0.03250626036293358
56,0.6054183963294735,4577,0.78597513965347,147866,-0.18055674332399652
57,0.6981681931723563,4804,0.7906722240611763,148031,-0.09250403088881998
58,0.7507589556769885,3294,0.7982770316103649,147420,-0.047518075933376425
59,0.8211102423768569,6395,0.8075506008318688,147379,0.013559641544988121
60,0.8370492293879994,6683,0.8139867333783125,149699,0.023062496009686906
61,0.802655302409441,6101,0.8218333183518527,144623,-0.01917801594241164
62,0.909993593850096,6244,0.8297374915215101,138586,0.08025610232858593
63,0.804177545691906,5362,0.8355477855477855,137280,-0.0313702398558795
64,0.9127074335076154,4399,0.8431290264922793,128679,0.06957840701533613
65,0.9017001915708812,8352,0.848837761286137,126394,0.052862430284744244
66,0.9010383555838102,4719,0.8530275588624014,122574,0.04801079672140873
67,0.799404482056104,6381,0.857203166226913,113700,-0.05779868417080891
68,0.8819095477386935,4776,0.8652791536937446,113056,0.016630394044948815
69,0.8495132127955494,3595,0.8680028974079201,109063,-0.01848968461237077
70,0.7871287128712872,4242,0.8764885146561443,113536,-0.08935980178485714
71,0.945054945054945,4732,0.8797741751696276,96535,0.06528076988531739
72,0.9845121321631388,1937,0.8767139764253067,74826,0.10779815573783214
73,0.8926905132192846,1929,0.8817772317772318,73260,0.010913281442052836
74,0.8001605136436597,3738,0.8854064128309118,76191,-0.08524589918725212
75,0.9345692475463467,1834,0.8889007285853191,75077,0.04566851896102764
76,0.989100817438692,1835,0.8887699062246631,65369,0.10033091121402893
77,0.9424150177574835,3942,0.8886986591629515,58993,0.05371635859453194
78,0.9458997722095672,1756,0.8902812127873958,54585,0.05561855942217142
79,0.9695181907571289,1017,0.8918749539187495,54252,0.07764323683837937
80,1.0,4374,0.8894790849278686,49701,0.11052091507213135
81,0.9694656488549618,1572,0.890901551690273,45821,0.07856409716468882
82,1.0,549,0.8888785155794142,42845,0.11112148442058578
83,0.9166666666666666,576,0.8888804917372027,39696,0.02778617492946389
84,0.8587570621468926,177,0.8818423231775221,35021,-0.023085261030629467
85,1.0,886,0.8818092952990314,33759,0.1181907047009686
86,1.0,268,0.8756460154405665,31346,0.12435398455943347
87,1.0,195,0.8752840529340997,29924,0.12471594706590028
88,0.3611111111111111,108,0.8693646950305546,26019,-0.5082535839194435
89,1.0,712,0.8603577126542951,23818,0.13964228734570494
91,1.0,38,0.8432869080779944,17950,0.15671309192200555
