weight,inputstate,votereg,age,party_ID,askvote,vote_method
1.05306953194686,39,1,25,1,5,3
0.500553214397419,39,1,58,3,5,1
0.980498867361204,39,1,81,2,5,1
0.091839993810757,39,1,30,4,5,3
0.653284327440201,39,1,50,1,5,3
0.47995005905391,39,1,30,1,1,NA
0.118525289743629,39,1,34,4,3,NA
1.70297929380952,39,1,41,1,5,3
0.784844371219282,39,1,75,1,5,2
0.615940972738871,39,1,51,2,5,1
0.259052096548851,39,1,59,3,4,1
1.27363392568151,39,1,68,3,5,1
0.576580128211361,39,1,30,1,5,3
0.663667385256221,39,1,46,1,5,1
0.761712274881218,39,1,85,2,5,3
0.0489429579131573,39,1,66,4,5,3
1.04784582639595,39,1,48,3,5,2
0.712690192037163,39,1,65,1,5,2
0.604277989501686,39,1,81,3,5,1
0.666726368230375,39,1,53,2,5,1
0.584561838680984,39,1,68,1,5,2
0.9973297259938,39,1,60,2,5,1
1.30203212783569,39,1,61,3,5,1
0.55489742938685,39,1,81,1,5,2
0.12489170118017,39,1,68,NA,NA,NA
0.317419143702677,39,1,47,1,5,1
0.712690192037163,39,1,54,1,5,1
0.11059707101229,39,1,57,4,5,1
0.9231197719462,39,1,52,2,5,1
0.556837626090216,39,1,50,1,5,1
0.590916860579319,39,1,52,3,5,3
0.32230562793348,39,1,29,2,2,NA
0.604277989501686,39,1,73,3,5,1
0.253752731131858,39,1,67,2,5,3
0.761999973710972,39,1,64,1,5,3
1.07956128195736,39,1,65,2,5,3
0.556837626090216,39,1,51,1,5,1
1.65573939832012,39,3,68,1,3,NA
0.588930826327113,39,1,54,3,5,1
1.28778133492489,39,1,57,3,5,1
2.009077352763,39,1,26,2,5,1
0.674904858800855,39,1,33,1,5,1
1.30203212783569,39,1,58,2,5,1
2.23093087107402,39,2,41,NA,NA,NA
1.8217321243837,39,1,63,1,5,1
0.968030077022058,39,1,50,1,5,1
0.926111429086234,39,1,45,3,5,1
0.788132626849273,39,1,26,1,5,1
0.120232967167672,39,1,60,3,5,3
0.784380382364321,39,1,44,1,5,3
