age,percent_voted
19,0.4766633565044687
20,0.5941422594142259
21,0.6767068273092369
22,0.8075762655045257
23,0.6659768211920529
24,0.7559474979491386
25,0.5846153846153846
26,0.8978529603122967
27,0.8172928461142563
28,0.8022563459730492
29,0.776
30,0.8224355128974206
31,0.9686500319897633
32,0.6886051080550099
33,0.753056884635832
34,0.8125718666155615
35,0.8433734939759037
36,0.7373962986598596
37,0.7462207970682547
38,0.872173058013766
39,0.8027784668816671
40,0.9300426136363636
41,0.8605983450031827
42,0.9033319621554916
43,0.8545454545454545
44,0.8470055359838953
45,0.9376915219611849
46,0.7928007023705005
47,0.9026584867075664
48,0.7586399108138239
49,0.9381663113006397
50,0.9184692179700499
51,0.9480286738351255
52,0.9403956924618082
53,0.9617706237424547
54,0.9655691844200559
55,0.9870068509331443
56,0.960552268244576
57,0.9821455821761026
58,0.9475301347199244
59,0.9425004395990856
60,0.9717735612356908
61,0.9524041585445094
62,0.9630895420369104
63,0.9716817568869197
64,0.9741027732463295
65,0.9903296703296703
66,0.9593687038280725
67,0.9813811780636426
68,0.9702939337085679
69,0.8722055388722055
70,1
71,0.7946979038224414
72,0.9865083648138154
73,0.8678556951763275
74,0.9230055658627088
75,0.8994535519125683
76,0.9843821773082223
77,0.9795719844357976
78,1
79,1
80,0.8815039878465628
81,0.9784836065573771
82,1
83,1
84,1
85,1
86,1
87,0.34100135317997293
88,1
89,0.9320175438596491
90,1
91,1
93,1
