"","StateAbbr","age","votereg","askvote","vote_method","party_ID"
"196","OH",70,1,5,3,2
"197","OH",68,1,5,1,3
"198","OH",47,1,5,3,3
"199","OH",64,1,5,1,3
"200","OH",61,1,5,3,2
"201","OH",72,1,5,3,2
"202","OH",78,1,5,1,3
"203","OH",45,1,5,1,3
"204","OH",63,1,5,1,2
"205","OH",51,1,5,1,1
"206","OH",81,1,5,1,2
"207","OH",35,2,NA,NA,NA
"208","OH",64,1,5,1,1
"209","OH",85,1,5,3,3
"210","OH",81,1,5,1,3
"211","OH",79,1,5,1,3
"212","OH",73,1,5,2,3
"213","OH",60,2,NA,NA,NA
"214","OH",41,1,5,1,3
"215","OH",71,1,5,1,2
"216","OH",77,1,5,2,2
"217","OH",73,1,5,3,3
"218","OH",70,1,5,1,1
"219","OH",70,1,5,2,3
"220","OH",59,1,5,1,3
"221","OH",79,1,5,3,3
"222","OH",55,2,NA,NA,NA
"223","OH",69,1,5,1,1
"224","OH",90,1,5,1,1
"225","OH",76,1,5,1,3
"226","OH",66,1,5,3,3
"227","OH",69,1,5,2,2
"228","OH",67,1,5,1,3
"229","OH",70,1,5,3,2
"230","OH",42,1,5,1,2
"231","OH",73,1,5,2,3
"232","OH",66,1,5,1,2
"233","OH",72,1,5,2,2
"234","OH",77,1,5,1,3
"235","OH",62,1,5,1,2
"236","OH",60,1,5,1,3
"237","OH",60,1,5,3,2
"238","OH",63,1,5,2,2
"239","OH",63,1,5,1,3
"240","OH",80,1,5,1,2
"241","OH",75,1,5,2,3
"242","OH",47,1,5,1,3
"243","OH",60,1,5,3,3
"244","OH",74,1,5,1,1
"245","OH",81,1,NA,NA,3
"246","OH",45,1,5,1,1
"247","OH",71,1,5,2,2
"248","OH",70,1,5,1,3
"249","OH",74,1,5,1,3
"250","OH",60,1,5,1,2
"251","OH",71,1,5,1,1
"252","OH",69,1,5,3,1
"253","OH",70,1,5,2,3
"254","OH",80,1,5,2,1
"255","OH",46,1,5,1,3
"256","OH",81,1,5,3,3
"257","OH",64,1,5,3,3
"258","OH",71,1,5,1,3
"259","OH",74,1,5,2,3
"260","OH",63,1,5,3,2
"261","OH",72,1,5,1,3
"262","OH",74,1,5,2,2
"263","OH",72,1,NA,NA,3
"264","OH",89,1,5,3,1
"265","OH",70,1,5,1,3
"266","OH",55,2,NA,NA,NA
"267","OH",56,1,5,1,1
"268","OH",70,1,5,3,3
"269","OH",64,1,5,1,3
"270","OH",76,1,5,1,3
"271","OH",59,1,5,2,2
"272","OH",79,1,5,1,1
"273","OH",65,1,5,1,2
"274","OH",62,1,5,3,2
"275","OH",76,1,5,2,1
"276","OH",74,1,NA,NA,3
"277","OH",86,1,5,3,2
"278","OH",50,1,5,1,3
"279","OH",54,1,5,3,2
"280","OH",69,1,5,1,2
"281","OH",73,1,5,2,3
"282","OH",84,1,5,1,3
"283","OH",81,1,NA,NA,2
"284","OH",46,1,NA,NA,3
"285","OH",61,1,5,3,2
"286","OH",57,1,5,2,3
"287","OH",72,1,5,2,2
"288","OH",69,1,5,3,1
"289","OH",76,1,5,3,1
"290","OH",64,1,5,2,2
"291","OH",54,1,5,1,1
"292","OH",70,1,5,1,3
"293","OH",56,1,5,1,3
"294","OH",66,1,5,1,2
"295","OH",63,1,5,3,1
"296","OH",68,1,5,1,1
"297","OH",52,1,5,1,1
"298","OH",74,1,5,1,1
"299","OH",56,1,5,1,1
"300","OH",73,1,5,1,1
"301","OH",62,1,5,2,2
"302","OH",68,1,5,1,2
"303","OH",60,1,NA,NA,2
"304","OH",74,1,5,1,3
"305","OH",59,1,5,1,3
"306","OH",81,1,5,3,2
"307","OH",62,1,NA,NA,2
"308","OH",53,1,5,3,1
"309","OH",76,1,5,3,2
"310","OH",66,1,NA,NA,3
"311","OH",75,1,5,1,3
"312","OH",71,1,5,3,2
"313","OH",66,1,5,1,3
"314","OH",52,1,5,1,3
"315","OH",86,1,5,3,1
"316","OH",90,1,5,1,1
"317","OH",78,1,5,2,2
"318","OH",79,1,5,1,3
"319","OH",49,1,5,1,3
"320","OH",84,1,5,2,2
"321","OH",53,1,5,3,2
"322","OH",80,1,NA,NA,3
"323","OH",92,1,5,3,3
"324","OH",70,1,5,1,3
"325","OH",79,1,5,1,3
"326","OH",62,1,5,3,2
"327","OH",66,1,5,1,2
"328","OH",57,1,5,1,1
"329","OH",66,1,5,1,3
"330","OH",72,1,5,1,3
"331","OH",56,1,5,1,1
"332","OH",68,1,5,1,3
"333","OH",48,1,5,1,1
"334","OH",70,1,5,1,3
"335","OH",63,1,5,1,3
"336","OH",44,1,5,1,2
"337","OH",54,1,5,2,2
"338","OH",78,1,5,3,3
"339","OH",63,1,5,1,2
"340","OH",70,1,5,1,3
"341","OH",68,1,5,2,2
"342","OH",79,1,5,3,3
"343","OH",67,1,5,1,3
"344","OH",61,1,5,2,2
"345","OH",57,1,5,1,3
"346","OH",53,1,3,NA,1
"347","OH",63,1,5,3,1
"348","OH",81,1,5,3,2
"349","OH",64,1,5,2,2
"350","OH",79,1,5,3,2
"351","OH",62,1,NA,NA,2
"352","OH",85,1,5,3,3
"353","OH",61,1,5,3,2
"354","OH",46,1,5,1,2
"355","OH",68,1,5,1,3
"356","OH",88,1,5,1,2
"357","OH",90,1,5,1,1
"358","OH",64,1,5,2,2
"359","OH",57,1,5,1,2
"360","OH",41,2,NA,NA,NA
"361","OH",78,1,5,3,3
"362","OH",32,1,5,1,2
"363","OH",60,1,5,1,2
"364","OH",67,1,5,3,2
"365","OH",64,1,5,3,2
"366","OH",63,1,5,1,3
"367","OH",77,1,5,2,3
"368","OH",51,1,5,1,3
"369","OH",57,1,5,2,2
"370","OH",54,1,5,3,2
"371","OH",69,1,5,3,1
"372","OH",68,1,5,3,2
"373","OH",35,1,5,1,2
"374","OH",69,1,5,3,2
"375","OH",59,1,5,1,3
"376","OH",52,1,5,2,1
"377","OH",67,1,5,1,2
"378","OH",75,1,5,2,1
"379","OH",31,1,5,1,2
"380","OH",65,1,5,2,2
"381","OH",49,1,5,1,2
"382","OH",57,1,5,2,2
"383","OH",81,1,5,1,1
"384","OH",63,1,5,1,3
"385","OH",65,1,5,1,3
"386","OH",58,1,5,1,3
"387","OH",54,1,5,2,2
"388","OH",35,1,5,1,2
"389","OH",38,1,5,1,2
"390","OH",74,1,5,1,3
"391","OH",72,1,5,3,3
"392","OH",65,1,3,NA,1
"393","OH",58,1,5,3,2
"394","OH",38,1,5,2,2
"395","OH",72,1,5,3,3
"396","OH",58,1,NA,NA,3
"397","OH",65,1,5,2,3
"398","OH",57,1,5,1,2
"399","OH",66,1,NA,NA,2
"400","OH",81,1,5,2,2
"401","OH",55,1,5,1,3
"402","OH",72,1,5,1,1
"403","OH",80,1,5,3,2
"404","OH",55,2,5,3,NA
"405","OH",64,1,5,1,2
"406","OH",55,1,5,3,1
"407","OH",72,1,5,2,1
"408","OH",58,2,NA,NA,NA
"409","OH",79,1,5,1,3
"410","OH",90,1,5,1,3
"411","OH",82,1,5,2,1
"412","OH",70,1,5,1,2
"413","OH",65,1,5,1,1
"414","OH",68,1,5,1,1
"415","OH",81,1,5,2,3
"416","OH",46,1,5,3,2
"417","OH",51,1,5,1,3
"418","OH",67,1,5,2,2
"419","OH",60,1,5,1,3
"420","OH",39,1,1,NA,1
"421","OH",65,1,5,3,2
"422","OH",39,1,5,1,3
"423","OH",60,1,5,2,2
"424","OH",63,1,5,3,3
"425","OH",23,1,5,3,2
"426","OH",60,1,5,1,3
"427","OH",77,1,5,1,1
"428","OH",83,1,5,3,2
"429","OH",63,1,5,1,3
"430","OH",64,1,5,1,3
"431","OH",68,1,5,2,2
"432","OH",49,1,NA,NA,3
