"","inputstate","votereg","age","party_ID","askvote","vote_method"
"210",39,1,67,2,5,1
"211",39,1,50,3,5,1
"212",39,1,45,3,5,1
"213",39,1,82,4,5,3
"214",39,1,62,1,5,1
"215",39,1,53,4,5,1
"216",39,1,19,NA,NA,NA
"217",39,1,66,2,5,3
"218",39,1,46,3,5,3
"219",39,1,64,2,5,1
"220",39,1,51,1,5,2
"221",39,1,78,1,5,1
"222",39,1,82,4,5,3
"223",39,1,57,1,5,1
"224",39,1,63,1,5,3
"225",39,1,70,1,5,1
"226",39,1,73,2,5,1
"227",39,1,74,3,5,3
"228",39,1,81,2,5,1
"229",39,1,72,1,5,3
"230",39,1,53,2,5,3
"231",39,1,70,4,5,1
"232",39,1,54,NA,NA,NA
"233",39,1,54,3,5,2
"234",39,1,70,1,5,3
"235",39,1,70,1,5,2
"236",39,3,31,3,5,1
"237",39,1,44,1,5,2
"238",39,1,42,1,5,3
"239",39,1,34,2,5,1
"240",39,3,61,1,1,NA
"241",39,1,35,1,5,1
"242",39,1,61,1,5,2
"243",39,1,66,3,5,1
"244",39,1,61,2,5,1
"245",39,1,52,3,5,1
"246",39,2,63,2,NA,NA
"247",39,1,75,3,5,1
"248",39,1,69,3,5,1
"249",39,1,69,1,5,1
"250",39,1,43,3,5,2
"251",39,1,57,2,5,3
"252",39,1,71,3,5,1
"253",39,1,70,1,5,1
"254",39,1,55,1,5,2
"255",39,1,69,1,5,2
"256",39,1,85,2,5,3
"257",39,1,50,1,5,1
"258",39,1,76,1,5,3
"259",39,1,72,2,5,3
"260",39,1,61,1,5,3
"261",39,1,57,4,5,2
"262",39,1,63,1,5,3
"263",39,2,47,2,NA,NA
"264",39,1,67,3,5,3
"265",39,1,57,2,5,1
"266",39,1,74,2,5,1
"267",39,1,69,NA,NA,NA
"268",39,1,74,3,5,2
"269",39,2,63,1,NA,NA
"270",39,1,61,3,5,1
"271",39,1,60,2,5,1
"272",39,1,49,1,5,3
"273",39,1,68,1,5,3
"274",39,1,60,2,5,3
"275",39,1,36,2,5,1
"276",39,1,39,1,5,3
"277",39,1,69,1,2,NA
"278",39,2,52,3,NA,NA
"279",39,1,70,1,5,1
"280",39,1,82,2,5,3
"281",39,1,77,1,5,3
"282",39,1,62,3,5,3
"283",39,1,66,1,5,2
"284",39,1,51,2,5,2
"285",39,1,47,3,5,2
"286",39,1,67,2,5,1
"287",39,1,49,4,5,2
"288",39,1,57,1,5,1
"289",39,1,54,1,5,1
"290",39,2,20,3,NA,NA
"291",39,1,30,2,5,2
"292",39,2,39,1,1,NA
"293",39,1,68,2,5,3
"294",39,1,51,1,5,1
"295",39,1,49,1,5,3
"296",39,2,58,4,NA,NA
"297",39,1,47,1,5,3
"298",39,1,39,2,5,3
"299",39,2,70,3,5,1
"300",39,1,72,2,5,1
"301",39,1,51,3,5,2
"302",39,1,64,2,5,1
"303",39,1,47,1,5,3
