"","age","percent_voted"
"1",19,0.476663356504469
"2",20,0.594142259414226
"3",21,0.676706827309237
"4",22,0.807576265504526
"5",23,0.665976821192053
"6",24,0.755947497949139
"7",25,0.584615384615385
"8",26,0.897852960312297
"9",27,0.817292846114256
"10",28,0.802256345973049
"11",29,0.776
"12",30,0.822435512897421
"13",31,0.968650031989763
"14",32,0.68860510805501
"15",33,0.753056884635832
"16",34,0.812571866615561
"17",35,0.843373493975904
"18",36,0.73739629865986
"19",37,0.746220797068255
"20",38,0.872173058013766
"21",39,0.802778466881667
"22",40,0.930042613636364
"23",41,0.860598345003183
"24",42,0.903331962155492
"25",43,0.854545454545454
"26",44,0.847005535983895
"27",45,0.937691521961185
"28",46,0.7928007023705
"29",47,0.902658486707566
"30",48,0.758639910813824
"31",49,0.93816631130064
"32",50,0.91846921797005
"33",51,0.948028673835125
"34",52,0.940395692461808
"35",53,0.961770623742455
"36",54,0.965569184420056
"37",55,0.987006850933144
"38",56,0.960552268244576
"39",57,0.982145582176103
"40",58,0.947530134719924
"41",59,0.942500439599086
"42",60,0.971773561235691
"43",61,0.952404158544509
"44",62,0.96308954203691
"45",63,0.97168175688692
"46",64,0.97410277324633
"47",65,0.99032967032967
"48",66,0.959368703828072
"49",67,0.981381178063643
"50",68,0.970293933708568
"51",69,0.872205538872206
"52",70,1
"53",71,0.794697903822441
"54",72,0.986508364813815
"55",73,0.867855695176328
"56",74,0.923005565862709
"57",75,0.899453551912568
"58",76,0.984382177308222
"59",77,0.979571984435798
"60",78,1
"61",79,1
"62",80,0.881503987846563
"63",81,0.978483606557377
"64",82,1
"65",83,1
"66",84,1
"67",85,1
"68",86,1
"69",87,0.341001353179973
"70",88,1
"71",89,0.932017543859649
"72",90,1
"73",91,1
"74",93,1
